coverage,set_size_mean,set_size_median,empty_rate,singleton_rate,top1_acc_non_empty,base_top1_acc,hir,level,alpha,run
1.0,52.0,52.0,0.0,0.0,0.093280632411067,0.093280632411067,,leaf,0.0,1
1.0,52.0,52.0,0.0,0.0,0.08918406072106201,0.08918406072106201,,leaf,0.0,2
1.0,52.0,52.0,0.0,0.0,0.08950031625553401,0.08950031625553401,,leaf,0.0,3
1.0,52.0,52.0,0.0,0.0,0.092361220939427,0.092361220939427,,leaf,0.0,4
1.0,52.0,52.0,0.0,0.0,0.090290955091714,0.090290955091714,,leaf,0.0,5
1.0,52.0,52.0,0.0,0.0,0.090765338393421,0.090765338393421,,leaf,0.0,6
1.0,52.0,52.0,0.0,0.0,0.093596837944664,0.093596837944664,,leaf,0.0,7
1.0,52.0,52.0,0.0,0.0,0.09125415151035901,0.09125415151035901,,leaf,0.0,8
1.0,52.0,52.0,0.0,0.0,0.091239721695129,0.091239721695129,,leaf,0.0,9
1.0,52.0,52.0,0.0,0.0,0.09092346616065701,0.09092346616065701,,leaf,0.0,10
1.0,52.0,52.0,0.0,0.0,0.090607210626185,0.090607210626185,,leaf,0.0,11
1.0,52.0,52.0,0.0,0.0,0.09408602150537601,0.09408602150537601,,leaf,0.0,12
1.0,52.0,52.0,0.0,0.0,0.08840740154989701,0.08840740154989701,,leaf,0.0,13
1.0,52.0,52.0,0.0,0.0,0.089025932953826,0.089025932953826,,leaf,0.0,14
1.0,52.0,52.0,0.0,0.0,0.088853754940711,0.088853754940711,,leaf,0.0,15
1.0,52.0,52.0,0.0,0.0,0.092361220939427,0.092361220939427,,leaf,0.0,16
1.0,52.0,52.0,0.0,0.0,0.092504743833017,0.092504743833017,,leaf,0.0,17
1.0,52.0,52.0,0.0,0.0,0.09394274869523901,0.09394274869523901,,leaf,0.0,18
1.0,52.0,52.0,0.0,0.0,0.090750988142292,0.090750988142292,,leaf,0.0,19
1.0,52.0,52.0,0.0,0.0,0.08840740154989701,0.08840740154989701,,leaf,0.0,20
1.0,52.0,52.0,0.0,0.0,0.09218848829854501,0.09218848829854501,,leaf,0.0,21
1.0,52.0,52.0,0.0,0.0,0.089514470978965,0.089514470978965,,leaf,0.0,22
1.0,52.0,52.0,0.0,0.0,0.091081593927893,0.091081593927893,,leaf,0.0,23
1.0,52.0,52.0,0.0,0.0,0.093596837944664,0.093596837944664,,leaf,0.0,24
1.0,52.0,52.0,0.0,0.0,0.092504743833017,0.092504743833017,,leaf,0.0,25
1.0,52.0,52.0,0.0,0.0,0.08996047430830001,0.08996047430830001,,leaf,0.0,26
1.0,52.0,52.0,0.0,0.0,0.095049818124308,0.095049818124308,,leaf,0.0,27
1.0,52.0,52.0,0.0,0.0,0.09013282732447801,0.09013282732447801,,leaf,0.0,28
1.0,52.0,52.0,0.0,0.0,0.09471853257432,0.09471853257432,,leaf,0.0,29
1.0,52.0,52.0,0.0,0.0,0.08793294322315301,0.08793294322315301,,leaf,0.0,30
1.0,52.0,52.0,0.0,0.0,0.08901185770750901,0.08901185770750901,,leaf,0.0,31
1.0,52.0,52.0,0.0,0.0,0.09565217391304301,0.09565217391304301,,leaf,0.0,32
1.0,52.0,52.0,0.0,0.0,0.08997469955724201,0.08997469955724201,,leaf,0.0,33
1.0,52.0,52.0,0.0,0.0,0.092993832041752,0.092993832041752,,leaf,0.0,34
1.0,52.0,52.0,0.0,0.0,0.08998892930570901,0.08998892930570901,,leaf,0.0,35
1.0,52.0,52.0,0.0,0.0,0.09092346616065701,0.09092346616065701,,leaf,0.0,36
1.0,52.0,52.0,0.0,0.0,0.092332015810276,0.092332015810276,,leaf,0.0,37
1.0,52.0,52.0,0.0,0.0,0.091555977229601,0.091555977229601,,leaf,0.0,38
1.0,52.0,52.0,0.0,0.0,0.09266287160025301,0.09266287160025301,,leaf,0.0,39
1.0,52.0,52.0,0.0,0.0,0.09361163820366801,0.09361163820366801,,leaf,0.0,40
1.0,52.0,52.0,0.0,0.0,0.08997469955724201,0.08997469955724201,,leaf,0.0,41
1.0,52.0,52.0,0.0,0.0,0.09218848829854501,0.09218848829854501,,leaf,0.0,42
1.0,52.0,52.0,0.0,0.0,0.092979127134724,0.092979127134724,,leaf,0.0,43
1.0,52.0,52.0,0.0,0.0,0.08728652751423101,0.08728652751423101,,leaf,0.0,44
1.0,52.0,52.0,0.0,0.0,0.090434782608695,0.090434782608695,,leaf,0.0,45
1.0,52.0,52.0,0.0,0.0,0.09027667984189701,0.09027667984189701,,leaf,0.0,46
1.0,52.0,52.0,0.0,0.0,0.09267752649058901,0.09267752649058901,,leaf,0.0,47
1.0,52.0,52.0,0.0,0.0,0.09249011857707501,0.09249011857707501,,leaf,0.0,48
1.0,52.0,52.0,0.0,0.0,0.08950031625553401,0.08950031625553401,,leaf,0.0,49
1.0,52.0,52.0,0.0,0.0,0.08888185987664,0.08888185987664,,leaf,0.0,50
