alpha,level,metric,mean,std
0.02,family,coverage,0.98388625592417,
0.02,family,set_size_mean,2.321327014218009,
0.02,family,set_size_median,2.0,
0.02,family,empty_rate,0.0,
0.02,family,singleton_rate,0.110900473933649,
0.02,family,top1_acc_non_empty,0.916429699842022,
0.02,family,base_top1_acc,0.944391785150079,
0.02,family,hir,0.0,
0.02,major,coverage,0.924960505529225,
0.02,major,set_size_mean,4.420537124802528,
0.02,major,set_size_median,2.0,
0.02,major,empty_rate,0.0,
0.02,major,singleton_rate,0.108372827804107,
0.02,major,top1_acc_non_empty,0.795734597156398,
0.02,major,base_top1_acc,0.825750394944707,
0.02,major,hir,,
0.02,leaf,coverage,0.921800947867298,
0.02,leaf,set_size_mean,9.914375987361767,
0.02,leaf,set_size_median,5.0,
0.02,leaf,empty_rate,0.0,
0.02,leaf,singleton_rate,0.060031595576619,
0.02,leaf,top1_acc_non_empty,0.69826224328594,
0.02,leaf,base_top1_acc,0.72780410742496,
0.02,leaf,hir,,
